id,name,latitude,longitude
21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811
23,The Embarcadero at Steuart St,37.791464,-122.391034
86,Market St at Dolores St,37.7693053,-122.4268256
375,Grove St at Masonic Ave,37.77483629413345,-122.44654566049576
7,Frank H Ogawa Plaza,37.8045623549303,-122.27173805236816
93,4th St at Mission Bay Blvd S,37.7704074,-122.3911984
3,Palm St at Willow St,37.3172979,-121.884995
1,Washington St at Kearny St,37.79539293725452,-122.4047702550888
19,Post St at Kearny St,37.788975,-122.403452
37,Jones St at Post St,37.7873267660624,-122.41327822208405
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382
127,Valencia St at 21st St,37.7567083,-122.421025
252,Channing Way at Shattuck Ave,37.8658466,-122.2674431
243,Bancroft Way at College Ave,37.8693603,-122.2543374
349,Howard St at Mary St,37.78100971717512,-122.40566611289978
131,22nd St at Dolores St,37.75500026037814,-122.42572769522668
74,Laguna St at Hayes St,37.776434819204745,-122.42624402046204
321,5th St at Folsom,37.78014570345598,-122.40307085237872
18,Telegraph Ave at 23rd St,37.8126783,-122.2687726
72,Page St at Scott St,37.772406,-122.4356498
163,Lake Merritt BART Station,37.7973195,-122.2653199
6,The Embarcadero at Sansome St,37.80477,-122.403234
78,Folsom St at 9th St,37.7737172,-122.4116467
258,University Ave at Oxford St,37.8723555,-122.2664467
238,MLK Jr Way at University Ave,37.8717192,-122.2730677
28,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330358
109,17th St at Valencia St,37.7633158,-122.4219039
98,Valencia St at 16th St,37.765052,-122.4218661
133,Valencia St at 22nd St,37.7552126,-122.4209752
113,Franklin Square,37.764555,-122.410345
22,San Pablo Ave at MLK Jr Way,37.8113514,-122.2734217
122,19th St at Mission St,37.760299,-122.418892
58,Market St at 10th St,37.776619,-122.417385
87,Folsom St at 13th St,37.769757,-122.415674
15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203
104,4th St at 16th St,37.76704457969368,-122.39083349704742
27,Beale St at Harrison St,37.7880593,-122.3918648
9,Broadway at Battery St,37.79857210846256,-122.40086898207666
14,Cesar Chavez St at Dolores St,37.7478584,-122.4249863
31,San Fernando St at 4th St,37.335885,-121.88566
53,Grove St at Divisadero,37.775946,-122.4377775
106,Sanchez St at 17th St,37.7632417,-122.4306746
34,Harmon St at Adeline St,37.849735,-122.270582
121,Mission Playground,37.7592103,-122.4213392
11,Davis St at Jackson St,37.79728,-122.398436
24,Haste St at Telegraph Ave,37.8660431,-122.2588044
61,Howard St at 8th St,37.7765126,-122.4113061
36,Folsom St at 3rd St,37.78383,-122.39887
13,Commercial St at Montgomery St,37.794231,-122.402923
345,Hubbell St at 16th St,37.766482696439496,-122.39827930927277
43,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292
239,Bancroft Way at Telegraph Ave,37.8688126,-122.258764
182,19th Street BART Station,37.8090126,-122.2682473
119,18th St at Noe St,37.7610471,-122.4326417
369,Hyde St at Post St,37.78734902316596,-122.41665109992026
159,24th St at Market St,37.8160598,-122.2782444
254,Vine St at Shattuck Ave,37.88022244590679,-122.26959228515624
356,Valencia St at Clinton Park,37.769188178104585,-122.42228507995604
324,Union Square (Powell St at Post St),37.788299978150825,-122.40853071212769
71,Broderick St at Oak St,37.7730627,-122.4390777
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263
25,North Berkeley BART Station,37.873558,-122.283093
245,Downtown Berkeley BART,37.870139,-122.268422
377,Fell St at Stanyan St,37.771916882623145,-122.45370447635652
317,San Salvador St at 9th St,37.333955,-121.877349
219,Marston Campbell Park,37.8098236,-122.2801923
274,Oregon St at Adeline St,37.8575672,-122.2675583
77,11th St at Natoma St,37.7735069,-122.4160402
129,Harrison St at 20th St,37.758862,-122.412544
